"factor","AME","SE","z","p","lower","upper"
"unem_4a1",0.0962929779770999,0.02706126239489,3.55833281433622,0.000373216228888069,0.0419697555727015,0.148047954913047
"year2016",0.127232103917058,0.0188220533010341,6.75973560812667,1.38243779784489e-11,0.0902290253522287,0.164010118522469
"factor","AME","SE","z","p","lower","upper"
"unem_4a1",0.0962929779807871,0.0270612625442631,3.55833279483114,0.00037321625659749,0.0419697552835574,0.148047955209434
"year2016",0.127232103923434,0.0188220536246346,6.75973549224782,1.38243890348261e-11,0.0902290247243538,0.164010119163085
"factor","AME","SE","z","p","lower","upper"
"polscore",0.0023626035047181,0.00300941881212992,0.78506969358843,0.432412707552064,-0.00339564882350122,0.0084010561488427
"year2016",0.124025220287291,0.0203395572602028,6.09773451312847,1.07582224189473e-09,0.0842292086690604,0.163958808052036
"factor","AME","SE","z","p","lower","upper"
"polscore",0.00233729593058314,0.00300641390392231,0.777436509169212,0.436901279549465,-0.00341388625602116,0.0083710396925952
"year2016",0.124053785208521,0.020337953533262,6.09961985632601,1.06321012493889e-09,0.0842615817138771,0.163984894602763
"factor","AME","SE","z","p","lower","upper"
"pres_conf",-0.0243103400505108,0.00332175310192006,-7.31852708633244,2.50707422605557e-13,-0.0306690344690037,-0.0176480015784086
"year2016",0.10945507744828,0.0193099494746251,5.66832541908583,1.44199895606242e-08,0.0713893566916105,0.147082967718717
"factor","AME","SE","z","p","lower","upper"
"pres_conf",-0.025074828412575,0.00336775814464653,-7.44555497621901,9.65377183885155e-14,-0.0315132508451514,-0.0183118815008541
"year2016",0.10929627243428,0.0192711846169317,5.671486969112,1.41563371119415e-08,0.0713049216547206,0.146846577231938
